,spread,Mspread,ARMA_resid,ARMA_resid_square
2021-11-05 09:35:00,-15.447078498148274,-0.003312823762392725,-0.06700592734762548,0.004489794299715264
2021-11-05 09:40:00,-15.547078498148274,-0.10331282376239416,-0.11426971975616063,0.013057568853151486
2021-11-05 09:45:00,-15.340246351266607,0.10351932311927214,0.1816195710672723,0.03298566859465998
2021-11-05 09:50:00,-15.377078498148274,0.06668717623760756,0.003286866544362249,1.0803491680447833e-05
2021-11-05 09:55:00,-15.500494571589101,-0.056728897203221613,-0.1220073131275193,0.014885784456596544
2021-11-05 10:00:00,-15.487078498148279,-0.043312823762398985,-0.013111177829082471,0.00017190298406582374
2021-11-05 10:05:00,-15.5404945715891,-0.09672889720322077,-0.05637423004222547,0.0031780538128537567
2021-11-05 10:10:00,-15.467078498148274,-0.02331282376239585,0.060730036221274784,0.0036881372994373475
2021-11-05 10:15:00,-15.4704945715891,-0.02672889720322047,0.009690272822665415,9.390138737768795e-05
2021-11-05 10:20:00,-15.357078498148274,0.08668717623760358,0.11549730516160686,0.013339627499593339
2021-11-05 10:25:00,-15.4704945715891,-0.02672889720322047,-0.08767411158090536,0.007686749841501044
2021-11-05 10:30:00,-15.387078498148274,0.05668717623760245,0.06451494844077958,0.004162178572316448
2021-11-05 10:35:00,-15.493910645029937,-0.05014497064405532,-0.09230426098291476,0.008520076595602041
2021-11-05 10:40:00,-15.523910645029936,-0.08014497064405646,-0.050076279069622545,0.002507633725458717
2021-11-05 10:45:00,-15.530494571589102,-0.08672889720322274,-0.017787135892170514,0.0003163822032465405
2021-11-05 10:50:00,-15.427078498148274,0.016687176237603296,0.09912142130961867,0.009825056162438926
2021-11-05 10:55:00,-15.490494571589105,-0.0467288972032236,-0.04173331375246868,0.0017416694767619914
2021-11-05 11:00:00,-15.560494571589105,-0.11672889720322388,-0.07915219600918569,0.006265070133076551
2021-11-05 11:05:00,-15.550494571589105,-0.10672889720322587,-0.007746236065341874,6.0004173180003165e-05
2021-11-05 11:10:00,-15.477078498148275,-0.03331282376239386,0.07113379991067234,0.005060017489731569
2021-11-05 11:15:00,-15.553910645029935,-0.1101449706440576,-0.0615594888490444,0.0037895706673556216
2021-11-05 11:20:00,-15.500494571589101,-0.056728897203221613,0.039510988951602016,0.0015611182479336166
2021-11-05 11:25:00,-15.467078498148274,-0.02331282376239585,0.041696566829576856,0.001738603685373369
2021-11-05 11:30:00,-15.530494571589102,-0.08672889720322274,-0.05441150470982973,0.0029606118447878227
2021-11-05 13:05:00,-15.477078498148275,-0.03331282376239386,0.04122874498947568,0.001699809413407216
2021-11-05 13:10:00,-15.623910645029936,-0.18014497064405788,-0.13800413012065824,0.01904513993035957
2021-11-05 13:15:00,-15.507078498148275,-0.063312823762395,0.0859228382431085,0.0073827341317513895
2021-11-05 13:20:00,-15.580494571589101,-0.1367288972032199,-0.05518353154323269,0.0030452221535829573
2021-11-05 13:25:00,-15.417078498148276,0.02668717623760131,0.15068369673124787,0.022705576460594682
2021-11-05 13:30:00,-15.5404945715891,-0.09672889720322077,-0.09054573287214356,0.008198529741353579
2021-11-05 13:35:00,-15.550494571589105,-0.10672889720322587,-0.03005011255836053,0.0009030092647701371
2021-11-05 13:40:00,-15.560494571589105,-0.11672889720322388,-0.0170888349406835,0.0002920282796299253
2021-11-05 13:45:00,-15.683910645029941,-0.2401449706440601,-0.12778744364316222,0.01632963075285436
2021-11-05 13:50:00,-15.630494571589105,-0.18672889720322414,0.024254086950508458,0.0005882607338028247
2021-11-05 13:55:00,-15.693910645029938,-0.25014497064405816,-0.05940804643341005,0.0035293159810342047
2021-11-05 14:00:00,-15.567078498148275,-0.12331282376239727,0.11233041880318506,0.012618122988498952
2021-11-05 14:05:00,-15.537078498148274,-0.09331282376239614,0.053469056909832086,0.002858940046826862
2021-11-05 14:10:00,-15.567078498148275,-0.12331282376239727,-0.01898856290999093,0.0003605655213866832
2021-11-05 14:15:00,-15.567078498148275,-0.12331282376239727,-0.004830631270816399,2.3334998474589257e-05
2021-11-05 14:20:00,-15.640494571589104,-0.19672889720322215,-0.07519562218386007,0.0056543815956178285
2021-11-05 14:25:00,-15.7204945715891,-0.2767288972032205,-0.09749945906985774,0.009506144518914865
