,spread,Mspread
2021-10-11 14:05:00,-0.1790831625705973,-0.04061351653686315
2021-10-11 14:10:00,-0.16908316257059752,-0.030613516536863367
2021-10-11 14:15:00,-0.16908316257059752,-0.030613516536863367
2021-10-11 14:20:00,-0.16908316257059752,-0.030613516536863367
2021-10-11 14:25:00,-0.15908316257059774,-0.02061351653686358
2021-10-11 14:30:00,-0.16908316257059752,-0.030613516536863367
2021-10-11 14:35:00,-0.16435133796583123,-0.02588169193209708
2021-10-11 14:40:00,-0.17435133796583102,-0.035881691932096865
2021-10-11 14:45:00,-0.1843513379658308,-0.04588169193209665
2021-10-11 14:50:00,-0.1790831625705973,-0.04061351653686315
2021-10-11 14:55:00,-0.1790831625705973,-0.04061351653686315
2021-10-11 15:00:00,-0.16961951336106473,-0.031149867327330577
