,spread,Mspread
2021-11-04 09:40:00,4023.4455908529744,-33.9127322157492
2021-11-04 09:45:00,4022.504936809224,-34.85338625949953
2021-11-04 09:50:00,4029.3219762976,-28.03634677112359
2021-11-04 09:55:00,4038.958606930414,-18.399716138309486
2021-11-04 10:00:00,4042.7664449103395,-14.591878158384134
2021-11-04 10:05:00,4034.9847946696673,-22.37352839905634
2021-11-04 10:10:00,4041.8067929107783,-15.551530157945308
2021-11-04 10:15:00,4038.730920382516,-18.62740268620746
2021-11-04 10:20:00,4024.9387174732797,-32.419605595443954
2021-11-04 10:25:00,4041.118817621821,-16.239505446902513
2021-11-04 10:30:00,4036.411171714206,-20.9471513545177
2021-11-04 10:35:00,4051.455954165296,-5.902368903427487
2021-11-04 10:40:00,4045.9338443684464,-11.424478700277177
2021-11-04 10:45:00,4045.788756715041,-11.569566353682603
2021-11-04 10:50:00,4042.8931349307595,-14.465188137964105
2021-11-04 10:55:00,4048.0151746743545,-9.34314839436911
2021-11-04 11:00:00,4048.2222003485463,-9.136122720177354
2021-11-04 11:05:00,4045.394059933329,-11.964263135394503
2021-11-04 11:10:00,4043.7990878983246,-13.559235170399006
2021-11-04 11:15:00,4044.5995842078673,-12.758738860856283
2021-11-04 11:20:00,4048.021008544427,-9.337314524296744
2021-11-04 11:25:00,4047.459593350204,-9.898729718519462
2021-11-04 11:30:00,4049.9276198716907,-7.430703197032926
2021-11-04 13:05:00,4046.1371795437944,-11.221143524929175
2021-11-04 13:10:00,4052.838498597046,-4.519824471677566
2021-11-04 13:15:00,4054.6316060663407,-2.726717002382884
2021-11-04 13:20:00,4059.4656030590027,2.1072799902790393
2021-11-04 13:25:00,4058.258840475459,0.9005174067351618
2021-11-04 13:30:00,4064.495174211436,7.136851142712203
2021-11-04 13:35:00,4061.8575819730872,4.499258904363614
2021-11-04 13:40:00,4068.8969250594314,11.538601990707775
2021-11-04 13:45:00,4069.9844547394614,12.626131670737777
2021-11-04 13:50:00,4065.207027318293,7.848704249569437
2021-11-04 13:55:00,4069.688798612938,12.33047554421455
2021-11-04 14:00:00,4069.977523117397,12.61920004867352
2021-11-04 14:05:00,4069.451238301569,12.092915232845371
2021-11-04 14:10:00,4073.7686048118194,16.410281743095766
2021-11-04 14:15:00,4068.354523518551,10.996200449827484
2021-11-04 14:20:00,4075.0060327649026,17.647709696178936
2021-11-04 14:25:00,4073.524232640858,16.165909572134296
2021-11-04 14:30:00,4073.9660923029105,16.60776923418689
2021-11-04 14:35:00,4075.4855081363994,18.127185067675782
2021-11-04 14:40:00,4072.456190499109,15.097867430385577
2021-11-04 14:45:00,4070.4851780942154,13.12685502549175
2021-11-04 14:50:00,4070.3804524872417,13.022129418518034
2021-11-04 14:55:00,4070.7218135790295,13.363490510305837
2021-11-04 15:00:00,4071.94187138823,14.583548319506463
2021-11-05 09:35:00,4075.172986858661,17.814663789937185
2021-11-05 09:40:00,4063.936500064462,6.578176995738431
2021-11-05 09:45:00,4077.5567007471936,20.198377678470024
2021-11-05 09:50:00,4077.3085315839853,19.950208515261693
2021-11-05 09:55:00,4079.6246934410165,22.26637037229284
2021-11-05 10:00:00,4078.78479397107,21.42647090234641
2021-11-05 10:05:00,4071.588769834765,14.230446766041496
2021-11-05 10:10:00,4071.7912197853557,14.432896716632058
2021-11-05 10:15:00,4076.861094488567,19.502771419843157
2021-11-05 10:20:00,4074.415735185748,17.05741211702434
2021-11-05 10:25:00,4084.731605809187,27.37328274046331
2021-11-05 10:30:00,4091.075184314987,33.716861246263306
2021-11-05 10:35:00,4089.8910969769613,32.53277390823769
2021-11-05 10:40:00,4096.72152452889,39.36320146016624
2021-11-05 10:45:00,4092.364595322088,35.006272253364386
2021-11-05 10:50:00,4090.974332587339,33.616009518615556
2021-11-05 10:55:00,4091.195902667338,33.83757959861441
2021-11-05 11:00:00,4084.910083808343,27.551760739619567
2021-11-05 11:05:00,4081.8780753825417,24.519752313818117
2021-11-05 11:10:00,4087.0757375968738,29.71741452815013
2021-11-05 11:15:00,4086.317656363766,28.959333295042597
2021-11-05 11:20:00,4086.9784380381598,29.620114969436145
2021-11-05 11:25:00,4083.409536472468,26.05121340374444
2021-11-05 11:30:00,4083.5517821839658,26.19345911524215
2021-11-05 13:05:00,4085.175595637469,27.817272568745466
2021-11-05 13:10:00,4089.0760293114236,31.717706242699933
2021-11-05 13:15:00,4086.9169989181946,29.558675849471
2021-11-05 13:20:00,4081.9988555599384,24.6405324912148
2021-11-05 13:25:00,4078.5337487299084,21.175425661184818
2021-11-05 13:30:00,4073.2137571126577,15.85543404393411
2021-11-05 13:35:00,4077.991852314489,20.633529245765203
2021-11-05 13:40:00,4080.585635492552,23.227312423828153
2021-11-05 13:45:00,4078.3670777873667,21.008754718643104
2021-11-05 13:50:00,4078.775275934514,21.416952865790336
2021-11-05 13:55:00,4075.024345419102,17.66602235037817
2021-11-05 14:00:00,4073.4720786517705,16.113755583046895
2021-11-05 14:05:00,4072.9806411060736,15.622318037349942
2021-11-05 14:10:00,4075.655994364136,18.29767129541233
2021-11-05 14:15:00,4073.4287705728766,16.07044750415298
2021-11-05 14:20:00,4071.581646196185,14.223323127461299
2021-11-05 14:25:00,4066.862562742873,9.504239674149176
2021-11-05 14:30:00,4069.3959883449916,12.037665276267944
2021-11-05 14:35:00,4068.076175590914,10.717852522190242
2021-11-05 14:40:00,4064.867471533105,7.509148464381269
2021-11-05 14:45:00,4062.569696111498,5.2113730427745395
2021-11-05 14:50:00,4061.059877921849,3.7015548531253444
2021-11-05 14:55:00,4060.9409613450803,3.582638276356647
2021-11-05 15:00:00,4059.3118881537284,1.9535650850048114
2021-11-08 09:35:00,4048.3542944652017,-9.004028603521874
2021-11-08 09:40:00,4052.1989426015243,-5.159380467199298
2021-11-08 09:45:00,4051.2628165622573,-6.095506506466336
2021-11-08 09:50:00,4052.493796152359,-4.864526916364412
2021-11-08 09:55:00,4054.7694969776912,-2.588826091032388
2021-11-08 10:00:00,4047.7241069662628,-9.634216102460869
2021-11-08 10:05:00,4053.0883713655203,-4.269951703203333
2021-11-08 10:10:00,4048.192708511924,-9.165614556799483
2021-11-08 10:15:00,4052.0470794645175,-5.3112436042060835
2021-11-08 10:20:00,4059.5982630362905,2.2399399675668974
2021-11-08 10:25:00,4058.633286174897,1.2749631061733453
2021-11-08 10:30:00,4057.84271287953,0.4843898108065332
2021-11-08 10:35:00,4060.0724220018374,2.714098933113746
2021-11-08 10:40:00,4058.619805861158,1.2614827924344354
2021-11-08 10:45:00,4058.636079883111,1.2777568143874305
2021-11-08 10:50:00,4059.9611241548228,2.6028010860991344
