,total_value,balance,market_value
2021-10-14 14:50:00,102058.84920000001,102058.84920000001,0
2021-10-14 14:55:00,102058.84920000001,102058.84920000001,0
2021-10-14 15:00:00,102058.84920000001,102058.84920000001,0
2021-10-15 09:35:00,102058.84920000001,102058.84920000001,0
2021-10-15 09:40:00,102058.84920000001,102058.84920000001,0
2021-10-15 09:45:00,102058.84920000001,102058.84920000001,0
2021-10-15 09:50:00,102058.84920000001,102058.84920000001,0
2021-10-15 09:55:00,102058.84920000001,102058.84920000001,0
2021-10-15 10:00:00,102058.84920000001,102058.84920000001,0
2021-10-15 10:05:00,102058.84920000001,102058.84920000001,0
2021-10-15 10:10:00,102058.84920000001,102058.84920000001,0
2021-10-15 10:15:00,102058.84920000001,102058.84920000001,0
2021-10-15 10:20:00,102058.84920000001,102058.84920000001,0
2021-10-15 10:25:00,102058.84920000001,102058.84920000001,0
2021-10-15 10:30:00,102058.84920000001,102058.84920000001,0
2021-10-15 10:35:00,102058.84920000001,102058.84920000001,0
2021-10-15 10:40:00,102058.84920000001,102058.84920000001,0
2021-10-15 10:45:00,102058.84920000001,102058.84920000001,0
2021-10-15 10:50:00,102058.84920000001,102058.84920000001,0
2021-10-15 10:55:00,102058.84920000001,102058.84920000001,0
2021-10-15 11:00:00,102058.84920000001,102058.84920000001,0
2021-10-15 11:05:00,102058.84920000001,102058.84920000001,0
2021-10-15 11:10:00,102058.84920000001,102058.84920000001,0
2021-10-15 11:15:00,102058.84920000001,102058.84920000001,0
2021-10-15 11:20:00,102058.84920000001,102058.84920000001,0
2021-10-15 11:25:00,102058.84920000001,102058.84920000001,0
2021-10-15 11:30:00,102058.84920000001,102058.84920000001,0
2021-10-15 13:05:00,102058.84920000001,102058.84920000001,0
2021-10-15 13:10:00,102058.84920000001,102058.84920000001,0
2021-10-15 13:15:00,102058.84920000001,102058.84920000001,0
2021-10-15 13:20:00,102058.84920000001,102058.84920000001,0
2021-10-15 13:25:00,102058.84920000001,102058.84920000001,0
2021-10-15 13:30:00,102058.84920000001,102058.84920000001,0
2021-10-15 13:35:00,102058.84920000001,102058.84920000001,0
2021-10-15 13:40:00,102058.84920000001,102058.84920000001,0
2021-10-15 13:45:00,102058.84920000001,102058.84920000001,0
2021-10-15 13:50:00,102058.84920000001,102058.84920000001,0
