,T,P,Lags Used,NumberObservationsUsed,stockName
73,-2.8478582865107103,0.051756038178770995,7,5800,600745.XSHG_603501.XSHG
74,-3.138507196427639,0.02383164564925575,3,5804,600837.XSHG_601066.XSHG
75,-3.2743561129115593,0.0160644011650311,2,5805,600837.XSHG_601138.XSHG
76,-2.78112032786258,0.0610216122299918,5,5802,600837.XSHG_601601.XSHG
77,-1.9486862687389241,0.30951527258694994,1,5806,600837.XSHG_601633.XSHG
78,-2.526497576875432,0.10915956033303598,3,5804,600837.XSHG_603288.XSHG
79,-3.613569858657708,0.005506838097122901,1,5806,601066.XSHG_601138.XSHG
80,-2.6759545560413884,0.07829240373775129,1,5806,601066.XSHG_601601.XSHG
81,-4.080576828990692,0.0010426527493413715,4,5803,601066.XSHG_601728.XSHG
82,-2.524389019562712,0.10965241532475611,29,5778,601066.XSHG_601995.XSHG
83,-2.702458955126713,0.07361372812763592,1,5806,601138.XSHG_601601.XSHG
84,-3.8104544175168438,0.0028021456063152595,4,5803,601138.XSHG_601728.XSHG
85,-2.048344577107588,0.2657859244425621,1,5806,601166.XSHG_601668.XSHG
86,-2.3807129511515845,0.14725419107228416,2,5805,601211.XSHG_601336.XSHG
87,-2.3428119076391853,0.15853166927453177,2,5805,601211.XSHG_601601.XSHG
88,-2.4976402298077156,0.11604953859623568,2,5805,601211.XSHG_601628.XSHG
89,-1.881184807690269,0.3409634750454363,2,5805,601211.XSHG_601688.XSHG
90,-1.6693074560162808,0.4469915106366867,3,5804,601336.XSHG_601601.XSHG
91,-3.073256288407446,0.028596696457440347,4,5803,601336.XSHG_601628.XSHG
92,-3.4032448503476633,0.010848751002103018,1,5806,601336.XSHG_601888.XSHG
93,-2.1457320606446477,0.22652732269911563,4,5803,601601.XSHG_601628.XSHG
94,-3.756285844803509,0.0033876057570885196,4,5803,601601.XSHG_601888.XSHG
95,-3.4388844503646743,0.00970260477750652,3,5804,601628.XSHG_601888.XSHG
96,-3.9908620116540345,0.0014591235943927669,4,5803,601633.XSHG_603288.XSHG
